window-based	1.62510726515 2.68617547501 3.84338701016 7.45110692185 6.65776645348 4.55929071829 3.77961910675 6.34937376797 9.31152652952 8.11814324945 2.47187097934 9.53288646167 8.84684805364 4.09211330847 3.5041416548 6.32084519967 5.56547125889 6.11632073304 5.08805392254 9.42639957101 5.63169240177 4.53984065556 1.40866162817 7.67313061242 8.75399288341 3.70679190311 7.50477062125 4.53695167678 1.34425463496 3.97948735717 9.91186420296 7.42276252495 2.82834234243 5.7950576763 4.17583963626 5.11381658482 9.1698128144 1.94228121674 2.09775970512 6.67875157605 2.71738315382 1.36723446508 7.36203085401 5.50105881581 4.12330239689 2.40324273252 2.44911553336 5.09635753905 1.91706687978 3.21862274989
for	5.08216028576 5.49529099108 6.46172979098 1.94878892977 6.90714180028 3.54964792228 2.80819863481 8.16174912516 4.52098550395 2.0886878759 3.85272845986 4.24148488463 3.27232664199 3.62395210577 3.11552075313 9.63801924132 6.82646860175 9.56333474436 2.48970056781 3.63991641322 7.59841195591 4.88903656401 2.18210175178 8.08482739117 7.02561537415 9.77892051485 9.39838561627 3.82610590433 7.09454016593 6.95453356586 3.51506915909 6.19617731291 2.77230820143 3.53758404788 4.81235685358 9.03874644526 8.57469004512 9.14372452084 2.85624879562 3.48000221803 8.33071104517 6.63384026056 5.28202770932 1.74360529254 1.27617553218 5.67445872348 3.74809078964 1.15302684595 3.38322248905 4.9399809279
this	2.56338337318 9.25093765377 7.32304435208 2.16096049086 3.21297894467 3.41549375258 5.14600611998 2.04310360025 9.66942205394 9.40230204795 5.77278765669 3.30679422744 9.06604630435 8.65155259507 7.20927834726 5.1023033175 2.80740081476 3.35713111284 6.26029957216 5.46608049051 1.34404683006 4.70689411693 7.49749841967 6.2678067763 9.58866307714 1.19875233127 1.27950148282 8.35416462829 9.02538898445 9.78221162516 3.07900069456 7.8291549405 5.31588438276 3.72935212742 5.24953220943 9.70986354458 6.57826366247 1.06392026255 3.9367148139 9.10250904315 4.4501054419 9.80757846025 8.82655623991 1.61813634388 7.78626407903 9.66078477946 2.45036926867 3.31210498098 2.35093798815 2.70689964783
is	9.42416355856 2.79710630719 5.57084048752 6.62119926418 5.64505020174 6.67836986893 4.1761668405 1.72970705327 9.04068868904 1.56156376854 5.03749046553 4.59070582013 9.47642133412 1.56390683691 3.95769389626 6.46266970798 5.98637548444 8.88459511206 9.81346838117 8.80384810668 6.70166872682 6.6242648756 6.01373399764 7.57320315683 2.72998972635 4.87695954753 1.11309077616 1.83563986908 6.62984867716 5.06040447181 1.07546485868 9.77041070634 9.9745052188 8.67155938096 1.58617492752 6.53933234734 1.97391845083 6.90029642009 7.66923790423 2.39429108072 5.94619055605 3.17944147928 3.08396112446 5.22824073695 7.91716905874 9.40800540528 7.86508521112 5.01134331109 6.66917443064 9.72299689546
a	8.42832627449 9.48504822845 6.96988438966 5.34310981403 1.40741774462 5.24771279633 2.60241630046 3.92248502547 7.18391761408 6.05182393461 6.83532260668 8.44140843001 4.33558359103 9.41118941533 7.7223477041 7.71514655721 7.27366084373 2.50796896611 3.59459236749 4.07674519041 3.93797862243 3.70432012524 5.13863983374 4.7089542629 4.2217866428 1.24097277081 6.75145574991 8.68305474902 3.04735362405 5.46036238502 5.63754129881 8.91544434796 7.62991153548 3.96142203743 2.87929797227 3.530178378 2.77229368503 9.48059390037 9.53798974532 5.41607574974 5.76809892121 8.20715841329 2.28868841285 5.52691832551 9.39636814553 5.46747978986 2.24012347074 2.61509972977 8.29457696615 5.88925521688
better	4.90542284028 7.51658736174 8.70187592771 2.20700362738 1.45649604353 2.33772474439 7.2612527183 8.95588750419 6.02953526792 1.95345594454 4.37868702415 5.47497239491 4.58559278258 6.38541555756 1.91873567677 1.31891209134 2.68005924562 5.83439751484 1.78370516789 8.90451543635 5.98478959755 9.91763775056 1.74060580218 8.69928785484 8.09397032278 2.30392739239 4.28076068643 6.13061255893 8.18022449794 6.30884771279 6.39136246378 1.98841680409 4.3311339329 3.36287814399 1.42158151298 9.13731233282 5.09096248896 2.82832869421 2.01173578939 4.77341413572 5.36876199518 6.15304725743 1.24356516892 6.65270421254 7.60250901984 1.99231552636 4.93050518642 8.60443890171 3.0098635267 2.95572150077
learning	9.6138865996 4.4073927718 1.24587384462 9.53674018556 1.99010658634 6.33100395076 7.48046587615 5.14315086263 4.82708195252 4.97720269358 5.07996157372 8.19027844943 4.82323868123 4.92615921826 6.66328692994 3.29041856003 2.48595260175 5.66863684229 5.05790957962 5.3884145299 3.12325253772 4.46283672988 9.2028533646 5.18595262891 6.057406062 9.95288525834 2.16541669938 3.17754158524 9.09316823611 6.81597010013 3.46184192106 2.21571384757 7.1521000054 6.25577635464 5.05108257112 4.17202710661 9.88660561276 8.59687106902 2.79212165931 6.11037039242 7.6538589613 8.86032663111 9.52413646106 1.04234563278 6.97951732786 7.84422580138 3.32106106072 2.44764505653 8.16336254798 4.41414127321
text	3.02611863043 9.66197891609 3.87461741862 7.19136430145 1.30670979371 2.47644700713 9.64505771627 6.71219034262 3.90433507938 6.72911651851 9.015802539 8.11856914715 4.87148131956 8.24579293698 7.23766664394 4.49386523944 3.13404209374 5.35573549821 9.29510204337 7.64748020094 4.15749718206 5.07984261311 5.75451089012 5.62961622514 4.25270235665 6.39568921094 7.90654041232 3.95288388568 1.38491925166 9.84042030331 9.54785452922 2.13265789055 6.49459709491 8.33426881936 8.51924386481 5.97940495845 1.80670898463 7.8181066725 6.10060890989 1.17216338308 6.50970017887 1.10810323564 7.33977946076 5.19593492963 5.97167411868 1.54997581805 7.9948848541 3.13108878996 7.61594856875 8.45658852889
technique	2.79774777043 9.05453287267 3.89434087564 4.99942414501 5.66387762016 4.58679455071 1.93083370823 8.73783504268 5.99372613797 6.13147245656 7.91795270526 8.77698489557 1.61558355917 8.97365355535 7.13313230838 5.82289433602 9.62884609986 5.71534934727 6.88488555332 6.24406632787 1.12201568872 6.19125538956 8.97359945208 9.89612084647 4.95451616948 6.84940970001 3.14696600798 8.80840699606 1.09489071229 8.30178002847 1.39908795213 1.26510578438 3.72950443509 6.87221278214 2.09050306639 2.20708314416 4.58443384279 1.31840958311 7.80347374174 3.96726270399 8.78329906536 5.03259254392 7.13832599574 9.64512451005 8.83916260667 6.39609103286 3.63931222781 3.21387198992 3.48295478978 2.90581006677
deep	8.85831441557 9.34122015241 6.3620515109 5.51008930169 6.76164211356 5.47958696689 2.33194484302 7.46174683599 9.58659971035 9.27513954164 3.38128928203 7.58533839826 2.61354693463 7.39483227277 6.68224772368 6.77342106283 1.07713121235 2.62030777502 8.99798825074 9.88556043924 5.72224955399 3.11073508791 9.75514751341 1.2403090418 5.40756813564 8.80848357583 2.15966648916 6.76609415346 8.17703244802 7.93951559119 3.90914395911 5.49225038228 3.91995558423 1.28162558048 8.72004226233 2.40991130719 2.11849188202 5.99641466496 6.93942422568 6.83877324043 2.35166138462 7.75246986411 9.32401234753 7.50639167233 7.09513410523 7.20358757922 7.70021472708 6.25034926911 1.3883078602 3.54722222582
