window-based	205.291518266 176.992403408 369.106390599 271.104111888 216.897545668 115.895127606 281.409769737 361.575949068 243.487832618 234.038027108 199.181982859 310.346207292 278.148085633 171.598685836 139.282009865 295.77895615 145.560489345 377.221696544 243.413532658 349.248264902 205.827892374 209.544426583 200.869923726 257.633265047 193.78549616 176.47151955 165.827703032 297.914211172 224.301119437 383.112786044 248.406654757 244.194238271 168.654375255 173.644020873 232.738223305 133.946151736 336.254330767 342.128698799 217.184428506 123.294134444 273.722225306 148.834339393 211.39457827 300.269301433 361.174321835 211.73601803 238.14582983 144.730237599 190.160856672 247.067093873
for	154.820016223 139.876055274 287.203249172 209.547406306 169.299251666 90.0980749437 220.754552317 281.227999523 183.715353366 176.676094828 150.848267247 237.368202578 218.893192121 131.364177459 108.65929165 234.834894399 113.676516866 295.08328628 190.201872251 271.384426105 155.405070876 164.390534773 155.414109364 198.534604493 151.063173691 133.549577441 130.759590262 230.869658165 170.530247258 296.9937607 193.96151274 187.138290503 126.277327117 135.589789539 180.956802536 101.705234979 257.311902261 263.989360144 168.078152917 95.2845136802 218.395186219 112.951944431 162.46215262 233.419695585 281.363742229 164.890919078 185.537169658 110.966277892 148.202812728 188.346146732
this	110.396309116 6.56262402532 160.440495595 141.612956953 105.099781247 45.6135942265 121.765648738 111.871166775 166.70139168 177.697548204 132.611617359 151.937026762 17.453094709 107.824167476 13.3101334956 27.886581988 15.4518340041 176.581583135 35.5508948107 174.30582968 175.118923834 78.8950238932 97.8147785043 169.019068544 42.2479584266 154.094438556 41.37201808 145.188468018 150.02471697 162.730044684 105.902744136 180.280234957 87.4321091708 10.3542502121 145.097647207 18.7696158489 180.577180329 139.441350402 106.263546051 72.8920964226 54.4616302679 132.316552252 117.011796211 130.687062637 182.607266461 67.350473341 74.5985615435 36.4569307662 88.3028249466 131.224462448
is	206.553868421 162.672169449 336.618514476 244.950853151 197.582241101 114.589960175 247.143271158 332.178795913 235.281282006 223.619119587 188.713684852 288.262189609 268.365081121 173.843093395 126.981145931 261.042632704 135.451540677 330.004567933 216.49839148 306.916131528 194.056967709 184.845016049 176.742915199 237.859178164 190.091334959 174.731569545 145.911736513 261.113248739 206.72541401 346.422342128 219.267193457 228.078001724 175.702049349 168.12014443 204.895636217 138.521875453 321.558474931 316.386041229 200.299314804 118.755824116 232.942831846 142.522851831 211.823308793 260.281914747 314.899964812 197.587284705 204.602336967 154.359346427 172.171374627 238.42587446
a	170.77466994 160.094707513 314.062874659 224.107310224 180.864968832 98.1450422065 235.399374222 313.749907344 196.692856058 184.788080537 159.244483902 260.794681725 254.51251932 140.605192273 122.779164663 266.674515118 128.953907738 315.129605738 215.888400184 290.813990101 158.676777448 178.559334166 166.923106699 209.043327131 172.899298748 138.280839515 140.006852689 246.423715221 180.239917559 324.156358757 209.353144746 194.917353062 142.728327127 157.125708068 188.816298432 120.396509479 280.63144406 290.389335394 180.326724926 99.3938599775 239.367330786 115.287580817 176.866187671 251.803607982 300.604298747 183.096325592 203.945918105 128.906416077 159.372079455 205.421357239
better	1.97052128593 1.74387659018 1.15766485869 0.754406463529 1.40953768491 0.704577218113 0.972849496548 0.244711716201 1.03606614424 1.34538274329 1.74089008069 0.348982359338 1.65181723938 1.95014750524 0.341237127283 1.21364336402 1.8193681415 1.35280522259 1.51917719496 1.02795788557 0.716948169183 0.59269440003 0.520927262933 0.547223779728 1.12104345275 0.614180132848 0.661239085996 0.24301214113 1.12153304183 0.306083039014 0.370505679699 1.67209146903 1.23514833499 1.00716597356 0.450985203353 0.183226773526 0.0298057020029 1.64831411603 1.29545783408 1.18298970506 1.46117752402 0.737733039516 1.70906664188 1.49109233455 0.410272493176 0.443123363493 0.398210787234 0.111563957474 0.0654564511091 1.2726050672
learning	81.5909519647 70.0810862339 144.946208189 106.966935373 86.0971189793 46.7637999995 110.346896712 142.9370773 96.0665359381 91.8669461289 77.7093041956 122.151592385 110.638349569 68.5922354678 53.5893225237 115.246608855 56.8871510376 148.072623393 95.0798253977 137.287782139 81.6572227111 83.2721266813 79.3493796279 102.281598075 76.2525281244 70.2563122474 63.5856018053 116.439285278 87.7542406979 150.018846084 97.5092720896 98.0061267017 67.6249003067 68.5972477933 91.385332227 52.9072813785 133.251833484 134.813007809 84.650996243 50.2475111501 107.300855226 60.8681579737 84.3362222493 117.463841516 141.621648351 84.1547941987 93.5886482366 58.190937497 76.4735478758 98.4604035244
text	110.514700912 105.75564159 208.569824867 150.65060233 122.219105522 65.7088750841 160.594312891 207.546065071 129.256882936 121.964752948 104.254137875 172.937138308 165.001732225 92.3734529342 81.1529389946 177.768182619 86.4139663332 212.304711544 143.202075359 195.862759521 106.754328304 121.57738698 112.47477257 140.262255469 111.421921617 90.8251045677 95.117466741 168.069988661 119.768359799 214.744411939 141.917538086 130.61808948 89.6280956469 103.243535942 127.817255481 75.2362882552 183.910596859 191.363414436 120.198424006 66.8609674956 164.780758673 77.3156670522 113.308474903 170.010903512 205.434774753 121.118801449 138.574970686 80.4250748795 108.718459148 134.122759258
technique	1.33442751668 0.385000601601 0.0319423581536 1.83465091847 0.848714327858 0.677190327165 1.59136924329 1.67211878815 0.688339724448 1.80608280292 0.763093598999 1.93447082368 0.662755569416 1.38363736487 1.43791845211 0.233052051535 1.61696810078 0.577420314562 0.915553554479 1.00080966686 0.0997119599602 0.750250884294 1.31134013377 0.258515060446 0.493640080067 1.39585229501 0.227605043888 1.97166146321 0.746237358342 1.44516166402 0.534593244484 0.989371838706 1.78482260527 0.176549616306 0.103659973272 1.61429157382 1.88793844359 1.68112574081 0.169990042363 1.26814417978 0.0917059362964 1.01345871183 1.90816811646 0.992474673618 1.31510417156 1.49668457163 0.4752484357 0.643851204564 0.340174728034 0.949642831068
deep	139.646332826 117.255109065 246.908261728 181.838533144 146.114279452 78.3384184564 187.560071043 241.682630641 165.36210371 156.896598813 133.15458426 207.279205579 186.159122243 116.571649638 93.1593172863 196.302004606 97.0372265544 252.257344898 162.10857103 233.890934002 139.610381708 139.621274267 134.169121248 173.347525975 131.944848232 120.900649994 110.207539458 199.141888984 151.00800144 255.106137209 166.784159226 165.744862254 113.515727703 116.478092054 156.872313974 90.493811901 226.109915562 227.674909003 145.752109295 84.7527368638 181.619442954 101.028440034 143.529377168 199.389948383 242.725011535 142.698707431 157.542767437 98.5475103655 128.795136315 165.760416611
