window-based	1.6828841544 0.829865510082 0.637109804982 1.27727936037 0.216749625116 0.216340712914 0.651736187383 1.46845059736 1.59864407672 1.87188274734 1.98452693015 1.82009690653 0.354045385897 0.0258811832996 1.59313626806 0.538037026544 1.05189057425 0.900296382897 1.80500267396 1.16453122161 1.36176806895 0.209159381846 1.11555232138 0.318029313973 0.0527764503072 0.0372417101178 1.6325018759 1.77520406215 1.80068983146 1.88045640546 0.710318501779 0.325899902667 1.24960615772 1.00077544751 0.376435813328 1.61528980248 1.45783144709 1.99993339686 1.12110907447 0.207690267958 0.0983102227945 0.0586453499186 0.0668419309419 1.70272197999 0.583445058564 0.527806793303 1.65259467316 0.481094291731 0.109881951648 1.59040479078
for	0.370625131591 1.22065450636 1.69968104675 1.22155611863 1.5537900055 0.914190617614 1.55250779853 1.10452393335 1.00579868162 1.88829358166 1.2668069824 0.111388109652 1.86878029867 0.978480864106 0.377384859907 0.932317866495 0.00336356503542 1.69647909352 0.329768562522 0.735860646325 0.945604709021 0.685191095435 0.622997007519 1.31732515564 0.545284311811 1.32954994897 1.96246083993 0.920818613399 1.39430393975 1.44685554999 0.798214969332 1.21726482246 0.449233436229 0.876915922568 1.59286256345 0.768488630671 1.87803931636 0.968962589376 1.48395425375 0.687180212944 1.05911547277 0.460443521195 1.9755143693 0.672413025683 0.738791830847 0.382844637621 0.0160259667672 1.47755762235 0.230109454636 1.41922684204
this	1.17644297199 0.0687983453464 1.69477604455 1.46998424865 1.10652161424 0.479421542388 1.27875699304 1.16481935828 1.76313682018 1.88792638793 1.38283219217 1.59344200067 0.168094652453 1.14144089608 0.133399912802 0.280128943712 0.146122521928 1.86509100371 0.355853810179 1.82394789873 1.85446965093 0.833799082154 1.02831934408 1.79333807354 0.439559851093 1.61492541015 0.438298134296 1.522296312 1.5777577378 1.71946542194 1.12317643909 1.92124983174 0.929899704896 0.120777646861 1.5257362792 0.192182732154 1.91152384624 1.46724068864 1.13160648965 0.782392576425 0.559637276579 1.38915294915 1.25311604982 1.37679541487 1.90724270572 0.718977492407 0.793696659335 0.365335050309 0.913065789246 1.39898774753
is	0.0660549101399 1.3662437265 0.277343132007 0.0166323939854 0.424095400231 1.8267041898 1.7287788509 0.567018508834 0.730836852154 0.185579408456 0.464200285891 1.6651341418 0.9808231649 1.93433651195 1.4947836941 1.18038552604 1.15963188685 1.12985455902 1.83593589365 0.0793637186273 1.50451969062 1.29228406289 1.61292802169 0.581785633866 1.09991383381 1.75438863938 1.79580488572 1.02543888646 0.288002569109 0.901883999153 1.41042894714 0.275529542997 0.258320670682 1.75267159864 0.662669640928 0.0708600185354 0.858819635537 1.52565208796 0.0982731037157 0.00682964126743 0.475183269971 0.541928069989 0.876544434623 1.84477621116 0.698169467508 0.158025272879 0.977078086114 1.74974078432 0.266941435002 1.13401068863
a	1.48870927327 0.48279401416 1.84856127447 0.381442227243 0.128486173785 0.135396834167 0.169116058571 1.8119071613 1.44912262462 0.800745767566 1.17665991418 1.80043854956 1.97596537129 0.892337748517 0.726987706114 1.4031201605 0.555559365574 0.738885397994 0.918318710667 0.920278823387 0.595647867895 0.208261249535 0.115376141079 1.00876310397 1.96946500057 0.84587595761 0.196093566468 0.2800839887 0.649627206368 1.97781901809 0.471291283191 0.264688512502 1.84540220604 1.10759434346 0.324757802805 1.48026127382 1.99033781721 1.83710683197 0.9764215224 0.000770674974953 0.137242445936 0.250966281109 1.34389265904 0.427523287432 0.591326748797 1.19716764656 0.455137555137 1.69891982261 0.25627375059 1.32647551109
better	1.97052128593 1.74387659018 1.15766485869 0.754406463529 1.40953768491 0.704577218113 0.972849496548 0.244711716201 1.03606614424 1.34538274329 1.74089008069 0.348982359338 1.65181723938 1.95014750524 0.341237127283 1.21364336402 1.8193681415 1.35280522259 1.51917719496 1.02795788557 0.716948169183 0.59269440003 0.520927262933 0.547223779728 1.12104345275 0.614180132848 0.661239085996 0.24301214113 1.12153304183 0.306083039014 0.370505679699 1.67209146903 1.23514833499 1.00716597356 0.450985203353 0.183226773526 0.0298057020029 1.64831411603 1.29545783408 1.18298970506 1.46117752402 0.737733039516 1.70906664188 1.49109233455 0.410272493176 0.443123363493 0.398210787234 0.111563957474 0.0654564511091 1.2726050672
learning	1.16098060643 1.47060581519 0.395244689987 1.1931895879 1.17968190972 1.31179415129 0.624539168962 1.81501860388 0.558005049448 0.460545943559 0.248209139205 0.699775218228 1.86670839435 0.731549345378 0.0232570984843 0.136100300696 0.369537546646 0.925287751174 0.799396228526 0.891189794665 1.02232491448 1.29217226172 1.13186803097 1.00256323691 0.0301088697526 0.349520872507 0.0361756898605 0.557853165947 0.34726055117 0.690404920496 0.538762831755 1.86593534084 1.2805601479 1.02568393757 0.354593136827 0.918437982889 1.44697039347 1.39767590401 0.0291199614874 1.83006087894 0.729479413979 1.95416586635 1.00013522482 0.741225374356 0.206652575363 1.26411220818 1.21203510922 1.30093061109 1.80847996289 1.86147933605
text	1.60164505159 0.703104644874 1.28809380259 1.34064969596 1.4632700854 1.88156227088 1.47675006521 1.10731872349 1.08823709006 1.2859230546 0.120187577079 1.45267040366 1.14792901377 1.87262243552 0.220362653605 0.818785178755 1.11542547741 0.389203831538 0.0792569869272 0.576502406312 1.52314160099 1.14203602971 0.271419170492 1.23931292862 0.229476598616 1.00825200059 0.830907702042 1.71773867268 0.6612720787 0.210262963805 1.21470705156 1.39571355007 0.325180172418 1.60090987555 0.451860400302 0.282878793277 1.36786771292 0.48637073978 0.994027325498 0.723414706346 1.84243340016 0.946576530073 0.23761709651 0.489497367699 1.87018796047 0.578794994643 0.788798505626 0.500537878487 1.6212202724 0.914430811234
technique	1.33442751668 0.385000601601 0.0319423581536 1.83465091847 0.848714327858 0.677190327165 1.59136924329 1.67211878815 0.688339724448 1.80608280292 0.763093598999 1.93447082368 0.662755569416 1.38363736487 1.43791845211 0.233052051535 1.61696810078 0.577420314562 0.915553554479 1.00080966686 0.0997119599602 0.750250884294 1.31134013377 0.258515060446 0.493640080067 1.39585229501 0.227605043888 1.97166146321 0.746237358342 1.44516166402 0.534593244484 0.989371838706 1.78482260527 0.176549616306 0.103659973272 1.61429157382 1.88793844359 1.68112574081 0.169990042363 1.26814417978 0.0917059362964 1.01345871183 1.90816811646 0.992474673618 1.31510417156 1.49668457163 0.4752484357 0.643851204564 0.340174728034 0.949642831068
deep	1.83899080114 0.44848644129 0.648215025242 1.22290904478 1.26966935583 0.787952747655 0.699034359056 1.1579709808 1.71732556559 0.301072748624 0.449785697222 0.123604353195 1.0298972583 0.763194194752 1.54769502437 0.717544403834 0.776025831649 1.45789551497 1.33432569248 1.34680388139 1.41177234511 0.20804513621 0.667291553327 0.586793783894 1.99088871801 1.23417408541 1.47712827373 1.34310475994 1.24088396821 0.47742028862 1.46280445124 1.46142123821 0.0415218711613 1.22248220133 1.42971053904 1.30726662264 0.925622293985 0.161724144382 1.16296953167 1.89289568826 0.671934882451 0.419031177411 1.1287247378 0.420686426365 1.76662609379 1.41769654163 0.212164640688 1.20435573856 1.55315098644 0.589067672393
DGDD	0.123243877525 0.985623091749 1.62173777269 1.07648112813 0.856896827189 0.18742419132 1.42744374084 1.64346771641 0.322736121196 0.320194869569 0.336746067249 1.07586324194 1.20196388898 0.0519333402664 0.668370994634 1.94018712754 0.624748331551 1.91633450246 1.46677359023 1.72034523076 0.222007954489 1.12693399793 0.97760035393 0.747205066028 0.600773232858 0.0185007687734 0.799773987498 1.42953799941 0.613618143948 1.67795858448 1.26438440805 0.5700474336 0.00297939477678 0.650189507372 1.01432996747 0.181210632299 0.824210302054 1.30617648365 0.729628367708 0.154364920371 1.88177900901 0.12694573966 0.226694008646 1.6193916855 1.86187843081 0.825085428134 1.48051033584 0.023549147791 0.796347638713 0.50446880302
sample	0.0471482404581 0.802444535778 0.337889302629 0.191298135817 0.750763423951 0.486993439886 1.84425185036 1.3560750332 1.17388433247 0.188500214229 1.73086193814 0.478212839644 1.24388674904 0.627031102271 0.886369763809 0.549127134028 1.58496073055 1.31392869659 1.3300237783 1.17976643225 0.730998875767 1.6956154174 0.900870929623 1.46330203198 1.64975617146 0.394235584116 1.93556190529 1.03362699502 0.822485403015 1.93158677477 1.30250770434 0.265768981607 0.61841491577 1.16476911151 0.943970394593 0.24915249814 0.75617217333 1.72651683558 0.94291675648 1.6854526058 1.65254911181 0.535394068246 0.927401209837 0.63852254629 1.19784385181 1.29709185378 1.30337489297 1.152678821 1.03340469663 1.01889965186
